Глокая куздра штеко будланула бокра и курдячит бокрёнка;rus
Na cusdra gloa la ga stecamente budle on bucor e la steo za cudrisendo on bucrin;vec
Una custra gloca ha estecamente budlado al bocre y está cudrando al bocrenito;spa
La gloca cusdra ha budlanudo estecamente al bocre y cudrache al bocrenito;spa
La cusdra gloca ha stecamente budlanato il bocro e sta curdiacciando il bocrino;ita
La cudra geloca ha botllat el bocre restecament i està crodant el bocret;cat
La cusdra gloca va budlar el bocre estecament i està curdant el bocaret;cat
Cusdra gloca bocrum steciter budlavit et bocrellum curdecit;lat
Uma cusdra glouca budelanou estecamente o bocre e está a curdar o bocrinho;por
Uma cusdra glouca budelanou estecamente o bocre e está curdando o bocrinho;por(br)
Cuzdra glocată a budlat ştec bocrul şi curdează bocreţelul;ron
La cousedre glokeuse chtekienz boudlat ung bokuer et courdist le bokuerin;fro
Une coustre glaque a stèquement boudlonné le bocre et courdoie le bocreau;fra
A glawkish cusdruh had steackly bouthled a bockre, and then is curdashing a bockrelet;eng(us)
A glock coozdre has steckly boodled a boker and is curding a bokеrlet;eng
The glocky kouzdress steckly brutted the bock and is cuddering the bocklet;eng
Die gloke koesdra boedlaat bokker stekinig en koerd bokkerie;afr
Een glokke koesdra heeft een bokker geboedlaneerd en koerdeert een bokkertje;nld
Gluka kuzdrō stēkiba gabauþlida bukr kaúrþreiduh bukrein;got
Kuzdra sō glukō stēkiba gabauþljandei þana bukr kaúrþreiþ bukrilan is;got(bib)
En glok kustra budlede stækt bokkeren og kurder den lille bokker;dan
Koddr in glokka hefir steggliga buðlat til bokrar ok kyrðir bøkringinn;non
Di gloke kuzdre hot a bokr a bodle geton shtekerhejt un kurdjachevet a bekrele;yid
Eine gloke Kusdra hat den Bokren steckenhaft gebudlet und kürdelt das Bökerchen;deu
Eine glockliche Kuser hat einen Bocker stecklich gebudelt und kürdelt den Jungbocker;deu
Die glöckigе Kusdra hat einen Bocker stecktig gebudlet und kurdelt das Böckerchen;deu
Den gloke kuzdra budlante bokren stekt og kurdjatjer den lille bokren;nor
Den glocka kusdran budlade bökren schtekt och kudrar bökriten;swe
Den glocka kusdran har budlat båckeren sneppt och kudrar båckerungen;swe
Глокая куздра штэка будланула бокра і курдзячыць бакраня;bel
Глоката куздра щеко избудли бокъра и курдячи бокърчето;bul
Głoka kuzdra szteko budłanęła bokra i kurdziaczy bokrzątko;pol
Глока куждра штеко будланула бокра и курђачи бокрице;srp
Hloká kúzdra šteko búdla bokra, a kurďačie bokratko;slk
коуздра глока штеко боуланоувъши бокръ коудрячитъ бокря;chu
Глока куздра штеко будланула бокра i курдячить бокреня;ukr
Gloka kuzdra štěko budlanula bokra a kurd'ači bokře;ces
Hloká kuzdra štěce budlanula bokra a kurděcuje bůkře;ces
Hloká kouzdra štěce boudla bokra, a kurděčí bokře;ces
Glokā kūzdra stēki sabuldināja bokru un kūdrina bokrēnu;lav
Glokioji kūzdra štėkiai pabudlino bokrą ir kurdinėja bokriuką;lit
Boudlanet chtek d'ur bokr he deus ar gouzdra glok hag emañ -hi o kourdakiñ ar bokrig;bre
Budlodd cusdr loc bocr yn dec a mae hi’n curdu bocryn;cym
Cuđra gloca bocron steco budlasit etic bocricnon purdeti;xcg
Bhodlain an chusdra ghloca an bocar go steice agus tá sí ag curdeamh an bhocairin;gle
ग्लोका कूद्रा ष्टकं बोक्रं बुबोद्र बोक्रकं चोर्कुद्रीति च;san
گلوک ِ کوزدرا بُکر رِ شتِک شتِک بودلا بَکردِ او بُکر کــُت ِ ر ِ کورداک کـُـند;mzn
Gwyllag sylgwydzyr buqyry styqæj babyğta ’mæ buqyræn jæ læppyny qwyrd kæny;oss(iron)
Gullag silgudzuræ boğuri ustuğæj babuğta ma i boğuræn æ bædoli qurd kænuj;oss(dig)
glokā kūdrā ṣṭekaṃ bokraṃ bubodra bokrakaṃ corkudrīti ca;san
Кудра-и глок бокр-ро штик будланд во бокр-и кучик-ро курдач микунад;tgk
کوزدرای ِ گلوک شتِکوانه بُکر را بودلا کــَرد وَ بُکرَک را کورداک می کــُنـَد;fas
Э глоко куздра штэкос будланискирдя о бокрэс тэ курдяскирэла бокрорэс;rom
Գլոկան կուզդրու շտեկող բոդլեց բոկրին ու կուդրում է բոկրիկին;hye
Գլոկեալ զկուզդր շտեկովին բուդլանեավ զբոկր և կուրդյացանէ զբոկրիկ;xcl
Ή κούζδρα γλόκη τόν βόκρον στηκῶς εβούδλοσεν καί τόν βοκρίδην κουρδίζει;grc
Ἡ γλόκη κούσδρα τὸν βόκρον στηκῶς ἐβούδλωσε καὶ τὸν βοκρίδην κουρδίζει;grc
Η γλόκη κούζντρα μπουντλάνησε στεκώς τον μπόκρο και κουντρίζει το μποκρόπουλο;ell
Quzudartu galiktu shatqam bukram tibdul mukarradat-ma bukranam;akk
بضلت قزدرة اغلوكة البكر بإشتيك وتتقرض البكر الصغير;ara
וַתִּבְדַּל קָזְדֶּרֶת גְּלוֹקָה אֶת הַבּוֹקַר שָׁטֵק וְאֶת הַבְּקַרְקַר קֹדֶרֶת;heb(bib)
Quzdra gloka badlat la-bukra ve-ka-kordat la-bukrira;tmr
واحد كوزدرة گلوكة بودلنت شطك واحد بوكر و كا — يكودر بويكر;ary
Kuzdra gloka badla beshtekut et ha-buker vekuderet et bukrono;heb(lat)
Glokalı kuzdra bokru ştökcəsinə budlatdıraraq bokrəcəni kürdədir;aze
Глокалы куздра бокру штёкджясиня будлатдырараг бёкряджяни кюрдядир;aze(cyr)
Ғолаҡ ҡуздыр боҡорҙо шатыҡ будланы ла боҡорсоҡто ҡурҙалай;bak
Гәкел гүзерә бүкерҙе шәтек бүҙәне лә бүкерсекте күрҙәләй;bak
Глокалы куздра бокрды штектеп будлады және бокр баласыны курдалайды;kaz
Глокiлi куздра бокрды штектеп будлады да бокрдын баласын кудрялап жатыр;kaz
Glokalı kuzdra bokranı shteklep budladı, al bokrashanı kurdaladı;kaa
Глокалы куздра бокраны штеклеп будлады, ал бокрашаны курдалады;kaa(cyr)
Ber gölkän küzdrä boqurnı şetkep bodlanğan häm boqurnıñ balasına kürdä-kürdä itä;tat
Бер гөлкән күздрә бокурны шеткеп бодланган hәм бокурнын баласына күрдә-күрдә итә;tat(cyr)
Бер гөлкән күздрәбикә ата бокырны шетек кенә бодлап алды да бокыр баласын күрдәләп тора;tat(cyr)
Glokalı kuzdra bokru ştökcesine budlatdıraraq bokreceni kürdediyor;tur
Глокалы куздра бокру штёкджeсинe будлатдырараг бёкрeджeни кюрдедийор;tur(cyr)
Goluklu kuzdura bokru şitekçe budlayıp bokurcuğu kürdeleştiriyor;tur
Голуклу́ куздура́ бокру́ шите́кче будлайы́п бокурджуу́ кюрделештири́йор;tur(cyr;acc)
Glokali kuzdra bokrani shtekchasiga budlantirib, bokrachani kurdyachtirmoqda;uzb
Глокали куздра бокрани штекчасига будлантириб, бокрачани курдячтирмокда;uzb(cyr)
Кăлăклă кустăра пăккăра шăттеклĕ путланă пăккăр çурине та куртат;chv
Egy glókai kuzdra stékán megbudlanta a bokrot és kurdítja a kisbokrot;hun
Эдь глокаи куздра штекан мегбудланта а бокрот эш курдитьа а кишбокрот;hun(cyr)
Klokan küströ pokrym shtekan vutlalyn da pokrigym kurtitla;mhr
Глокай куздрась штекаста бурландазень бократнень и курдячендай бокренкать эса;mdf
Klokas kustari putlai pokrin tekisti ja kydrää pokrikkoa;fin
Клокас кустари путлай покрин текисти я кюдряя покриккоа;fin(cyr)
Glokkine kustra on steksti pudlanud pokri ja kurdjab pokrikest;est
Глоккинэ кустра он стэксти пудлануд покри я курдяб покрикэст;est(cyr)
ཀུཟ་དྲ་མས་གློཀ་ཤཏེ་ལྡར་བོཀར་ལ་བུད་ལན་དང་བོཀར་ལ་ཆུང་ཆུང་ཀུར་ད;bod
kuz dra mas glok shte ldar bokr la bud lan dang bokr la chung chung kur da;bod(lat)
ku-sdra-mos glok bo-kar ste-kor buds-la bo-kar-ru kur-das-so;xct(lat)
Сustаrv kvlŏkēt pokvrŏn cvtikēn puhtîles, pokvrucen kurvtet os;mus
Чустаръ кълŏки:т покърŏн чътэки:н пухтэлис, покъручин курътит ос;mus(cyr)
Colocihualotztli ixtachtica oquipotlan in pocohuatl ihuan quicoltachihuatimani in pocohuatontli;nci
Колосиўалоцтли иштачтика окипотлан ин покоўатль иўан кикольтачиўатимани ин покоўатонтли;nci(cyr)
Иглокаб куздараца бокра иштекго будланабуна ва бокрако курдабулеб буго;ava
Кузыдрэ глокъэм бокърыр штэкъэу ыбыдлэгъи, бокъры цIыкIум екудрэ;ady
Kuzdra glokak bokra esteki budlatu eta bokritxoa kurdaten du;eus
გლოკმა კუზდრამ შტეკად უბოდლანა ბოკრს და კურდაჩობს ბოკრიკოს;kat
Glokma kuzdram shtekad ubodlana bokrs da kurdachobs bokrikos;kat(lat)
Глокма куздрам штекад убодлана бокрс да курдачобс бокрикос;kat(cyr)
შთექად კუზრდამან გლოკაურმან ბოკრაჲ გარდაბუდალა და ბოკრიკსა მიმოჰკურდებს;oge
шт’ек’ад кузрдаман глакаурман бокрай гардабудала да бокрикса мимохкурдебс;oge(cyr)
Ua putula hekeka ke kuhukuka kolokaia i ka pokola, e kulakaka ana ia i ka pokola iki;haw
Isikuzidra iglokelu umbokora inshuwateko la quwrda umbokorawani;nde
Къуздрэ глокъэр щтэчу бокрэм ебудлауэ бокрэжьейр екурдэ;kbd
គូស្ត្រាហ្ក្លក់មួយបានបូដ្លាបករសយ៉ានស្តេក ហើយកំពុងកូរដរកូនបករស។;khm
kustra glok muey ba:n boudla bokro: jan stec hayiy kompon kourdo koun bokro:;khm(lat)
Mama kuza mgloka amembudla mboka seko na anamkudra mboka mdogo;swa
Гуроку на кузудора ва бокеру о сутеку ни будоро о шитэ, кобокеру о курудо о шитеиру;jap(cyr)
Gloka kuzdrino ŝteke kurnobafis bokron kaj kurdaĉas bokridon;epo
Zozega zozajxo zozece ekzozis la zozon kaj zozumas zozidon;epo
